address|clean_address|lat|lng|loc_type|num_results
Algan St, Waramanga ACT|Algan Street, Weston Creek ACT 2611, Australia|-35.349744|149.063619|GEOMETRIC_CENTER|1
Alice Berry St, Forde ACT|Alice Berry Street, Forde ACT 2914, Australia|-35.173628|149.146641|GEOMETRIC_CENTER|1
Alice Clarke St, Casey ACT|Alice Clarke Street, Casey ACT 2913, Australia|-35.169798|149.097762|GEOMETRIC_CENTER|1
Alice Crist St, Franklin ACT|Alice Crist Street, Franklin ACT 2913, Australia|-35.191942|149.147978|GEOMETRIC_CENTER|1
Alice Cummins St, Gungahlin ACT|Alice Cummins Street, Gungahlin ACT 2912, Australia|-35.182964|149.150987|GEOMETRIC_CENTER|1
Alice Jackson Cres, Gilmore ACT|Alice Jackson Crescent, Gilmore ACT 2905, Australia|-35.416470|149.131046|GEOMETRIC_CENTER|1
Alice St, Amaroo ACT|Alice Street, Amaroo ACT 2914, Australia|-35.166858|149.132176|GEOMETRIC_CENTER|1
Alice St, Queanbeyan ACT|Alice Street, Queanbeyan NSW 2620, Australia|-35.360889|149.235350|GEOMETRIC_CENTER|1
Alinda Pl, Giralang ACT|Alinda Place, Giralang ACT 2617, Australia|-35.209671|149.096128|GEOMETRIC_CENTER|1
Alinga St, City ACT|Alinga Street, Canberra ACT 2601, Australia|-35.278310|149.128454|GEOMETRIC_CENTER|1
Alison Ashby Cres, Banks ACT|Alison Ashby Crescent, Banks ACT 2906, Australia|-35.475453|149.102244|GEOMETRIC_CENTER|1
Alla Ct, Pialligo ACT|Pialligo ACT 2609, Australia|-35.303553|149.179963|APPROXIMATE|1
Allambee St, Jerrabomberra ACT|Allambee Street, Jerrabomberra NSW 2619, Australia|-35.378219|149.216682|GEOMETRIC_CENTER|1
Allambee St, Reid ACT|Allambee Street, Reid ACT 2612, Australia|-35.278556|149.140735|GEOMETRIC_CENTER|1
Allan Pl, Curtin ACT|Allan Place, Curtin ACT 2605, Australia|-35.321128|149.087130|GEOMETRIC_CENTER|1
Allan St, Curtin ACT|Allan Street, Curtin ACT 2605, Australia|-35.323260|149.086209|GEOMETRIC_CENTER|1
Allara St, City ACT|Allara Street, Canberra ACT 2601, Australia|-35.284080|149.132437|GEOMETRIC_CENTER|1
Allawoona St, Bruce ACT|Allawoona Street, Bruce ACT 2617, Australia|-35.235844|149.086813|GEOMETRIC_CENTER|1
Allchin Cct, Kambah ACT|Allchin Circuit, Kambah ACT 2902, Australia|-35.373667|149.042661|GEOMETRIC_CENTER|1
Allcot Pl, Conder ACT|Allcot Place, Conder ACT 2906, Australia|-35.447989|149.093045|GEOMETRIC_CENTER|1
Allen Pl, Holt ACT|Allen Place, Holt ACT 2615, Australia|-35.222359|149.001643|GEOMETRIC_CENTER|1
Allen St, Narrabundah ACT|Allen Street, Narrabundah ACT 2604, Australia|-35.333933|149.140648|GEOMETRIC_CENTER|1
Alleyne Cl, Macgregor ACT|Alleyne Close, Macgregor ACT 2615, Australia|-35.203847|149.018821|GEOMETRIC_CENTER|1
Alli Pl, Ngunnawal ACT|Alli Place, Ngunnawal ACT 2913, Australia|-35.172660|149.101589|GEOMETRIC_CENTER|1
Allison Pl, Monash ACT|Allison Place, Monash ACT 2904, Australia|-35.413174|149.100929|GEOMETRIC_CENTER|1
Allitt Pl, Banks ACT|Allitt Place, Banks ACT 2906, Australia|-35.468980|149.102023|GEOMETRIC_CENTER|1
Allman Cct, Macquarie ACT|Allman Circuit, Macquarie ACT 2614, Australia|-35.255074|149.067412|GEOMETRIC_CENTER|1
Allnutt Cres, Forde ACT|Allnutt Crescent, Forde ACT 2914, Australia|-35.168200|149.142126|GEOMETRIC_CENTER|1
Allnutt St, Omalley ACT|O'Malley ACT 2606, Australia|-35.350407|149.106077|APPROXIMATE|1
Allott Pl, Belconnen ACT|Allott Place, Belconnen ACT 2617, Australia|-35.248835|149.075005|GEOMETRIC_CENTER|1
Allport St, Downer ACT|Allport Street, Downer ACT 2602, Australia|-35.247807|149.143784|GEOMETRIC_CENTER|1
Allsop St, City ACT|Allsop Street, Canberra ACT 2601, Australia|-35.278708|149.125214|GEOMETRIC_CENTER|1
Allumba St, Letchworth ACT|Allumba Street, Queanbeyan West NSW 2620, Australia|-35.364313|149.199533|GEOMETRIC_CENTER|1
Allwood St, Chifley ACT|Allwood Street, Chifley ACT 2606, Australia|-35.355189|149.083036|GEOMETRIC_CENTER|1
Allyn Cl, Amaroo ACT|Allyn Close, Amaroo ACT 2914, Australia|-35.170232|149.122485|GEOMETRIC_CENTER|1
Alma Cl, Palmerston ACT|Alma Close, Palmerston ACT 2913, Australia|-35.193132|149.115411|GEOMETRIC_CENTER|1
Alpen St, Melba ACT|Alpen Street, Melba ACT 2615, Australia|-35.206861|149.064994|GEOMETRIC_CENTER|1
Alpen St, Spence ACT|Alpen Street, Spence ACT 2615, Australia|-35.205620|149.062738|GEOMETRIC_CENTER|1
Alphard Pl, Giralang ACT|Alphard Place, Giralang ACT 2617, Australia|-35.212294|149.092153|GEOMETRIC_CENTER|1
Alroy Cct, Hawker ACT|Alroy Circuit, Hawker ACT 2614, Australia|-35.248614|149.038145|GEOMETRIC_CENTER|1
Alsop Cl, Phillip ACT|Alsop Close, Phillip ACT 2606, Australia|-35.350248|149.092857|GEOMETRIC_CENTER|1
Alston St, Chisholm ACT|Alston Street, Chisholm ACT 2905, Australia|-35.421903|149.121069|GEOMETRIC_CENTER|1
Alt Cres, Ainslie ACT|National Route Alt 23, Canberra ACT, Australia|-35.308869|149.170329|GEOMETRIC_CENTER|1
Altair Pl, Giralang ACT|Altair Place, Giralang ACT 2617, Australia|-35.210578|149.098264|GEOMETRIC_CENTER|1
Altree Ct, Phillip ACT|Altree Court, Phillip ACT 2606, Australia|-35.350103|149.087032|GEOMETRIC_CENTER|1
Altson Cct, Conder ACT|Altson Circuit, Conder ACT 2906, Australia|-35.462331|149.100762|GEOMETRIC_CENTER|1
Alumina St, Beard ACT|Alumina Street, Harman ACT 2620, Australia|-35.341057|149.211442|GEOMETRIC_CENTER|1
Alura Pl, Waramanga ACT|Alura Place, Weston Creek ACT 2611, Australia|-35.353810|149.063031|GEOMETRIC_CENTER|1
Amadeus Pl, Kaleen ACT|Amadeus Place, Kaleen ACT 2617, Australia|-35.228225|149.103854|GEOMETRIC_CENTER|1
Amadio Pl, Melba ACT|Amadio Place, Melba ACT 2615, Australia|-35.211109|149.053145|GEOMETRIC_CENTER|1
Amagula Ave, Ngunnawal ACT|Amagula Avenue, Ngunnawal ACT 2913, Australia|-35.180224|149.113637|GEOMETRIC_CENTER|1
Amangu St, Aranda ACT|Amangu Street, Aranda ACT 2614, Australia|-35.258884|149.075629|GEOMETRIC_CENTER|1
Amarina St, Palmerston ACT|Amarina Street, Palmerston ACT 2913, Australia|-35.189701|149.121338|GEOMETRIC_CENTER|1
Amaroo Pl, Karabar ACT|Amaroo Place, Karabar NSW 2620, Australia|-35.371445|149.221417|GEOMETRIC_CENTER|1
Amaroo St, Reid ACT|Amaroo Street, Reid ACT 2612, Australia|-35.285646|149.139275|GEOMETRIC_CENTER|1
Amaryllis St, Wright ACT|Amaryllis Street, Wright ACT 2611, Australia|-35.326262|149.032723|GEOMETRIC_CENTER|1
Ambalindum St, Hawker ACT|Ambalindum Street, Hawker ACT 2614, Australia|-35.252986|149.036186|GEOMETRIC_CENTER|1
Ambara Pl, Aranda ACT|Ambara Place, Aranda ACT 2614, Australia|-35.262032|149.076296|GEOMETRIC_CENTER|1
Amberley Ave, Majura ACT|Amberley Avenue, Canberra International Airport ACT 2609, Australia|-35.300618|149.199337|GEOMETRIC_CENTER|1
Ames Pl, Richardson ACT|Ames Place, Richardson ACT 2905, Australia|-35.430107|149.121570|GEOMETRIC_CENTER|1
Amess Pl, Belconnen ACT|Amess Place, Belconnen ACT 2617, Australia|-35.247366|149.070001|GEOMETRIC_CENTER|1
Amherst St, Kambah ACT|Amherst Street, Kambah ACT 2902, Australia|-35.385895|149.063528|GEOMETRIC_CENTER|1
Amiet St, Franklin ACT|Amiet Street, Franklin ACT 2913, Australia|-35.193982|149.144367|GEOMETRIC_CENTER|1
Ammon Pl, Kambah ACT|Ammon Place, Kambah ACT 2902, Australia|-35.372549|149.060857|GEOMETRIC_CENTER|1
Amos Pl, Kambah ACT|Amos Place, Kambah ACT 2902, Australia|-35.401315|149.062717|GEOMETRIC_CENTER|1
Ampt Pl, Theodore ACT|Ampt Place, Theodore ACT 2905, Australia|-35.447454|149.127118|GEOMETRIC_CENTER|1
Amsinck St, Wanniassa ACT|Amsinck Street, Wanniassa ACT 2903, Australia|-35.405720|149.093481|GEOMETRIC_CENTER|1
